商品ID,label_reference_title,一级标签,二级标签,order_line_count,attributed_order_count,sku_count,item_quantity,attributed_payment_amount,zero_payment_line_count,active_days,invalid_order_count,non_invalid_order_count,mixed_status_order_count,classified_order_count,invalid_order_rate,zero_payment_line_rate,attributed_payment_amount_per_active_day,attributed_payment_amount_share,scale_threshold_amount,risk_threshold_rate,scale_risk_quadrant
8389801469510,VITA维生素CE软糖美容角蛋白生物素护发护甲vc葡萄柚味60粒,通用维生素,通用维生素,80,80,1,83,10635.09,0,53,11,57,12,68,0.16176470588235295,0.0,200.6620754716981,0.0026114452753168487,1870.85,0.06860881643394985,high_scale_high_risk
8389038066663,VITA提高专注维生素focus清晰思维考研软糖36粒,专注力,专注力,87,87,1,89,10631.710000000001,0,53,4,70,13,74,0.05405405405405406,0.0,200.59830188679248,0.0026106153166582415,1870.85,0.06860881643394985,high_scale_low_risk
8411893333088,VITA复合维生素女性综合叶酸生物素矿物质维生素ce营养软糖,女士维生素,女士维生素,63,63,1,67,8870.94,0,47,3,59,1,62,0.04838709677419355,0.0,188.74340425531915,0.0021782584210024783,1870.85,0.06860881643394985,high_scale_low_risk
8416381000650,VITA复合维生素成人综合免疫软糖70粒叶酸生物素益生菌呵护肠道,通用维生素,通用维生素,44,44,1,51,8349.97,0,32,3,40,1,43,0.06976744186046512,0.0,260.9365625,0.0020503342901223615,1870.85,0.06860881643394985,high_scale_high_risk
8413687692657,VITA护发软糖生物素复合维生素hair滋养头发头皮生发养发功能软糖,通用维生素,通用维生素,46,46,1,48,7904.97,0,34,0,45,1,45,0.0,0.0,232.49911764705882,0.0019410645850689962,1870.85,0.06860881643394985,high_scale_low_risk
8404144602017,VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,睡眠,睡眠,189,188,1,206,7300.76,0,111,10,177,1,187,0.053475935828877004,0.0,65.77261261261262,0.0017927008805964254,1870.85,0.06860881643394985,high_scale_low_risk
8395259851809,VITA褪黑素睡眠软糖量贩两瓶装,睡眠两瓶装,睡眠两瓶装,30,26,1,31,6290.88,0,25,1,25,0,26,0.038461538461538464,0.0,251.6352,0.0015447249485980145,1870.85,0.06860881643394985,high_scale_low_risk
8399399052349,vita免疫防御维生素C&amp;锌软糖immunity原装正品45粒,通用维生素,通用维生素,43,43,1,48,6174.04,0,32,2,32,9,34,0.058823529411764705,0.0,192.93875,0.0015160348983992837,1870.85,0.06860881643394985,high_scale_low_risk
8414565932854,sleep睡眠+加强版睡眠+舒缓压力stress软糖组合,睡眠+其它,睡眠+舒压,44,44,1,46,5727.59,0,26,5,39,0,44,0.11363636363636363,0.0,220.29192307692307,0.0014064091459923733,1870.85,0.06860881643394985,high_scale_high_risk
8402749021354,VITA清澈美肌软糖美肤美容维生素AE软糖50粒,美容,美容,90,90,1,90,5467.7,57,35,4,86,0,90,0.044444444444444446,0.6333333333333333,156.22,0.0013425931827422178,1870.85,0.06860881643394985,high_scale_low_risk
8390650552313,VITA成人复合维生素B12软糖男女士辅酶q10保健品百香果味60粒,通用维生素,通用维生素,36,36,1,40,4923.610000000001,0,28,5,27,4,32,0.15625,0.0,175.8432142857143,0.0012089919381973065,1870.85,0.06860881643394985,high_scale_high_risk
8394904596655,VITA褪黑素睡眠软糖+女士复合维生素软糖组合套装,睡眠+其它,睡眠+女士维生素,20,19,1,20,4619.54,0,16,4,13,2,17,0.23529411764705882,0.0,288.72125,0.0011343275804094931,1870.85,0.06860881643394985,high_scale_high_risk
8395159756856,VITA 护甲生发美容角蛋白软糖+亮肤紧致skin软糖靠颜值组合套装,美容,美容,10,8,1,13,3481.99,0,7,1,7,0,8,0.125,0.0,497.4271428571428,0.0008550022928062211,1870.85,0.06860881643394985,high_scale_high_risk
8395160152941,VITA元气舒压stress软糖+提高专注力focus软糖靠实力组合套装,专注力+其它,专注力+舒压,14,14,1,14,3187.46,0,11,0,13,1,13,0.0,0.0,289.7690909090909,0.0007826804810548329,1870.85,0.06860881643394985,high_scale_low_risk
8395516260970,VITA女士复合维生素软糖烟酰胺维生素ACD软糖量贩两瓶装,女士维生素两瓶装,女士维生素两瓶装,11,11,1,12,2662.87,0,11,0,10,1,10,0.0,0.0,242.0790909090909,0.0006538674595403496,1870.85,0.06860881643394985,high_scale_low_risk
8412993134841,VITA叶黄素焕白美肌亮肤紧致抗氧抗晒skin bright50粒功能软糖,美容,美容,13,13,1,14,2319.18,0,10,0,13,0,13,0.0,0.0,231.91799999999998,0.0005694744147543019,1870.85,0.06860881643394985,high_scale_low_risk
8395303982317,VITA儿童免疫力罐维生素CD3&amp;锌软糖immunity正品原装50粒,儿童维生素,儿童维生素,16,16,1,16,2306.48,0,15,1,12,3,13,0.07692307692307693,0.0,153.76533333333333,0.0005663559310370486,1870.85,0.06860881643394985,high_scale_high_risk
8422829741340,VITA褪黑素安瓶助眠无依赖sleep+益生菌益生元功能软糖改善肠,睡眠+其它,睡眠+益生菌,10,7,1,10,2204.29,0,6,0,7,0,7,0.0,0.0,367.38166666666666,0.0005412631868586139,1870.85,0.06860881643394985,high_scale_low_risk
8394359986462,VITA提神energy软糖+提高注意力focus软糖+元气舒压stress软糖,专注力+其它,专注力+舒压,6,6,1,6,2119.0,0,5,0,6,0,6,0.0,0.0,423.8,0.0005203202359732172,1870.85,0.06860881643394985,high_scale_low_risk
8415619342630,VITA女性复合维生素ce软糖90粒+vita益生菌大人调理肠胃50粒,女士维生素+其它,女士维生素+益生菌,12,7,1,12,2053.7799999999997,0,5,0,7,0,7,0.0,0.0,410.756,0.0005043054715606767,1870.85,0.06860881643394985,high_scale_low_risk
8404759104686,VITA元气舒压stress软糖缓解压力心情草莓柠檬口味10粒,舒压,舒压,51,51,1,59,2005.76,0,37,2,49,0,51,0.0392156862745098,0.0,54.20972972972973,0.0004925141654108731,1870.85,0.06860881643394985,high_scale_low_risk
8419633268650,VITA清澈美肌软糖美肤美容维生素AE软糖50粒21年8月到期,美容,美容,17,17,1,17,1870.85,0,13,1,16,0,17,0.058823529411764705,0.0,143.91153846153844,0.0004593870285372786,1870.85,0.06860881643394985,high_scale_low_risk
8394359674659,VITA美肌美肤软糖+美容软糖+亮肤紧致skin软糖组合套装,美容,美容,4,4,1,4,1850.45,0,4,0,4,0,4,0.0,0.0,462.6125,0.0004543778105977536,1870.85,0.06860881643394985,low_scale_low_risk
8397417045428,vita熬夜冠军盲盒sleep退黑素软糖女性复合维生素b叶酸锌D3钙软糖,睡眠,睡眠,8,8,1,8,1707.87,0,8,0,8,0,8,0.0,0.0,213.48375,0.0004193673059988572,1870.85,0.06860881643394985,low_scale_low_risk
8421267228836,vita益生菌缓解肠道软糖+女士复合维生素+胶原蛋白紧致肌肤软糖,益生菌+其它,益生菌+女士维生素+美容,3,3,1,3,1516.32,0,3,1,2,0,3,0.3333333333333333,0.0,505.44,0.00037233222284611077,1870.85,0.06860881643394985,low_scale_high_risk
8397439864990,vita靠颜值cp盲盒维生素C软糖美容胶原蛋白水果糖skin,美容,美容,5,5,1,5,1331.9,0,5,1,4,0,5,0.2,0.0,266.38,0.0003270479104732081,1870.85,0.06860881643394985,low_scale_high_risk
8405311359843,vita儿童复合维生素益生菌碘&amp;锌软糖+免疫力罐维生素CD3&amp;锌软糖,儿童维生素,儿童维生素,5,5,1,5,1308.6,0,4,0,5,0,5,0.0,0.0,327.15,0.00032132659782659366,1870.85,0.06860881643394985,low_scale_low_risk
8395161721336,VITA元气舒压stress软糖+褪黑素sleep软糖+女维软糖组合套装,舒压+其它,舒压+睡眠+女士维生素,3,3,1,3,1196.77,0,3,0,3,0,3,0.0,0.0,398.92333333333335,0.0002938667526218344,1870.85,0.06860881643394985,low_scale_low_risk
8394893900936,VITA胶原蛋白SKIN软糖 /护发护甲美容 /清澈美肌美肤软糖,美容,美容,7,7,1,7,1038.37,0,6,2,4,1,6,0.3333333333333333,0.0,173.06166666666664,0.0002549716486208162,1870.85,0.06860881643394985,low_scale_high_risk
8415685954501,&nbsp;VITA褪黑色素软糖安瓶助眠36粒免疫修复睡眠维生素接骨木莓,睡眠,睡眠,5,5,1,6,982.56,0,5,0,4,1,4,0.0,0.0,196.512,0.00024126750875783117,1870.85,0.06860881643394985,low_scale_low_risk
8420575935379,vita褪黑素软糖安瓶助眠+gaba缓解压力心情软糖+益生菌缓解肠道,睡眠+其它,睡眠+舒压+益生菌,2,2,1,2,977.5699999999999,0,2,0,2,0,2,0.0,0.0,488.78499999999997,0.00024004221476183951,1870.85,0.06860881643394985,low_scale_low_risk
8394651310916,VITA褪黑素sleep软糖+元气舒压软糖+女维软糖+skin亮肤软糖组合装,睡眠+其它,睡眠+舒压+女士维生素+美容,2,2,1,2,919.2,0,2,0,2,0,2,0.0,0.0,459.6,0.00022570946715742393,1870.85,0.06860881643394985,low_scale_low_risk
8416713445440,&nbsp;VITA活性叶酸孕妇专用女性软糖60粒复合维生素营养DHA蛋白质,女士维生素,女士维生素,3,3,1,4,693.54,0,3,0,3,0,3,0.0,0.0,231.17999999999998,0.00017029867694991273,1870.85,0.06860881643394985,low_scale_low_risk
8396571418177,VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,睡眠,睡眠,4,4,1,4,554.72,0,4,1,3,0,4,0.25,0.0,138.68,0.00013621143997124259,1870.85,0.06860881643394985,low_scale_high_risk
8422947437389,秒杀VITA清澈美肌软糖美肤维生素AE软糖50粒21年8月到期,美容,美容,3,3,1,3,547.71,0,2,0,3,0,3,0.0,0.0,273.855,0.00013449013517927836,1870.85,0.06860881643394985,low_scale_low_risk
8406711827254,VITA褪黑素sleep安神助眠睡眠软糖原装10粒,睡眠,睡眠,15,15,1,16,478.35,0,10,1,14,0,15,0.06666666666666667,0.0,47.835,0.00011745879418489309,1870.85,0.06860881643394985,low_scale_low_risk
8406736482903,【VITA褪黑素sleep安神助眠睡眠软糖原装10粒,睡眠,睡眠,2191,2190,1,2235,436.13,2184,101,97,1954,139,2051,0.04729400292540224,0.9968051118210862,4.318118811881188,0.00010709167744926816,1870.85,0.06860881643394985,low_scale_low_risk
8394907152038,【年终盛典】VITAsleep软糖+美容软糖+美肤软糖+亮肤skin软糖组合,睡眠+其它,睡眠+美容,1,1,1,1,401.88,0,1,0,1,0,1,0.0,0.0,401.88,9.868159340864395e-05,1870.85,0.06860881643394985,low_scale_low_risk
8403355196480,【赠品】VITA褪黑素睡眠软糖5mg深度睡眠50粒褪黑素软糖,睡眠,睡眠,3,3,1,3,321.70000000000005,0,3,2,1,0,3,0.6666666666666666,0.0,107.23333333333335,7.899340250711845e-05,1870.85,0.06860881643394985,low_scale_high_risk
8411754075671,VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,睡眠,睡眠,2,2,1,2,206.46,0,2,0,2,0,2,0.0,0.0,103.23,5.06962321467817e-05,1870.85,0.06860881643394985,low_scale_low_risk
8413792648393,vita元气舒压stress 缓解压力心情GABA软糖草莓柠檬味2瓶装,舒压,舒压,1,1,1,1,184.31,0,1,1,0,0,1,1.0,0.0,184.31,4.525730188401306e-05,1870.85,0.06860881643394985,low_scale_high_risk
8407039004177,【VITA元气舒压stress软糖缓解压力草莓柠檬口味10粒,舒压,舒压,189,189,1,191,182.32999999999998,184,50,9,76,104,85,0.10588235294117647,0.9735449735449735,3.6466,4.477111308400032e-05,1870.85,0.06860881643394985,low_scale_high_risk
8407024112739,VITA元气舒压stress软糖缓解压力草莓柠檬口味10粒,舒压,舒压,3,3,1,4,159.13,0,3,1,2,0,3,0.3333333333333333,0.0,53.04333333333333,3.9074355427285537e-05,1870.85,0.06860881643394985,low_scale_high_risk
8415857179302,【直播】VITA褪黑素安瓶助眠软糖睡眠安眠褪黑色素软糖,睡眠,睡眠,1,1,1,2,158.36,0,1,0,1,0,1,0.0,0.0,158.36,3.888528200505837e-05,1870.85,0.06860881643394985,low_scale_low_risk
8415618610485,vita免疫防御益生菌益生元软糖原装正品50粒2瓶装,益生菌,益生菌,3,3,1,3,150.0,0,3,0,3,0,3,0.0,0.0,50.0,3.683248484944907e-05,1870.85,0.06860881643394985,low_scale_low_risk
8414362236466,【直播专享】vita女性复合维生素软糖+褪黑素sleep睡眠软糖旅行装,女士维生素+其它,女士维生素+睡眠,1,1,1,1,131.89,0,1,0,1,0,1,0.0,0.0,131.89,3.2385576178625586e-05,1870.85,0.06860881643394985,low_scale_low_risk
8411577519952,VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,睡眠,睡眠,1,1,1,1,104.25,0,1,1,0,0,1,1.0,0.0,104.25,2.5598576970367104e-05,1870.85,0.06860881643394985,low_scale_high_risk
8405046313736,VITA维生素CE软糖美容角蛋白生物素护发护甲vc葡萄柚味10粒,美容,美容,3,3,1,3,89.21000000000001,0,3,1,0,2,1,1.0,0.0,29.736666666666668,2.1905506489462344e-05,1870.85,0.06860881643394985,low_scale_high_risk
8420049799468,VITA提高专注维生素focus清晰思维考研软糖36粒21年8月到期,专注力,专注力,1,1,1,1,64.94,0,1,0,1,0,1,0.0,0.0,64.94,1.5946010440821482e-05,1870.85,0.06860881643394985,low_scale_low_risk
8406389878635,VITA维生素CE软糖美容角蛋白生物素护发护甲vc10粒,美容,美容,1,1,1,1,22.39,0,1,1,0,0,1,1.0,0.0,22.39,5.497862238527765e-06,1870.85,0.06860881643394985,low_scale_high_risk
8422835154346,vita旗舰店满999元-300元店铺优惠券06/01-06/03,优惠券,优惠券,1,1,1,1,1.0,0,1,0,1,0,1,0.0,0.0,1.0,2.4554989899632714e-07,1870.85,0.06860881643394985,low_scale_low_risk
8397783508641,VITA元气舒压stress 缓解压力心情GABA助眠睡眠软糖21年9月到期,舒压,舒压,37,37,1,41,0.0,37,13,1,36,0,37,0.02702702702702703,1.0,0.0,0.0,1870.85,0.06860881643394985,low_scale_low_risk
8407345318421,【赠品】vita复合维生素女性综合孕妇叶酸生物素维生素营养软糖,女士维生素,女士维生素,7,7,1,7,0.0,7,6,0,4,3,4,0.0,1.0,0.0,0.0,1870.85,0.06860881643394985,low_scale_low_risk
8406402666328,【VITA维生素CE软糖美容角蛋白生物素护发护甲vc软糖10粒,美容,美容,20,20,1,20,0.0,20,10,2,0,18,2,1.0,1.0,0.0,0.0,1870.85,0.06860881643394985,low_scale_high_risk
